class,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
16,1088,0,0,0.02,0,0.03,0,0,0,0,0,0,0,0,0.03,0,0.02,0.41,0,0,0,0.01,0,0.11,0,0.28,0,0.05,0,0,0
16,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1090,0,0,0,0.01,0.05,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.74,0.11,0,0,0,0,0,0,0,0,0
15,1091,0,0,0.1,0.23,0.2,0,0,0,0.04,0,0,0,0,0,0,0.33,0,0,0,0.04,0,0,0,0,0,0,0.04,0,0,0
2,1092,0,0,0.29,0.17,0.06,0,0,0,0.15,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0
15,1093,0,0,0,0.26,0,0.01,0,0,0.02,0,0,0,0,0,0,0.58,0,0,0,0.06,0,0,0,0,0.01,0,0.03,0,0,0
5,1094,0,0,0,0,0,0.32,0.1,0.01,0,0,0,0,0,0.13,0,0,0.14,0,0,0,0,0,0,0.01,0.27,0,0.02,0,0,0
15,1095,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.57,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
11,1096,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0.06,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
19,1097,0,0,0,0.01,0.02,0,0,0,0.05,0,0,0,0,0,0,0.06,0,0,0,0.74,0.01,0,0,0,0,0,0.08,0,0,0
19,1098,0,0,0,0.03,0,0,0,0,0.07,0,0,0,0,0,0,0.28,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0
20,1099,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0.19,0.55,0,0,0,0,0,0,0.06,0,0
10,1100,0,0,0.02,0,0.08,0.09,0,0,0,0,0.34,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0.16,0,0,0,0,0
4,1101,0,0,0.09,0.27,0.34,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0.17,0,0,0,0,0,0,0.02,0,0,0
8,1102,0,0,0.09,0.05,0,0,0,0,0.46,0,0.01,0,0,0,0,0.25,0,0,0,0.08,0,0.05,0,0,0,0,0,0,0,0
27,1103,0,0,0.02,0.17,0.31,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.44,0,0
15,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0.32,0,0.33,0,0.01,0,0,0,0,0,0
3,1106,0,0,0.02,0.36,0.05,0,0,0,0.03,0,0,0,0,0,0,0.36,0,0,0,0.08,0.02,0,0,0,0.01,0,0.06,0,0,0
15,1107,0,0,0,0.31,0.03,0,0,0,0.02,0,0,0,0,0,0,0.55,0,0,0,0.07,0,0,0,0,0,0,0.02,0,0,0
5,1108,0,0,0,0,0,0.57,0,0,0,0.06,0,0.02,0,0,0.09,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0
11,1109,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0.02,0,0,0,0,0
19,1111,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.2,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0
15,1112,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0
29,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
11,1114,0,0,0,0,0.04,0.16,0,0,0,0.02,0,0.31,0,0.18,0,0,0,0,0.05,0,0,0,0,0.03,0.12,0,0.06,0,0,0
15,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1116,0,0,0,0,0,0,0,0.07,0,0,0,0.68,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1117,0,0,0,0.04,0.09,0,0,0,0.04,0,0,0,0,0,0,0.07,0,0,0,0.18,0.54,0,0,0,0,0,0,0,0,0
13,1118,0,0,0,0,0,0.11,0.02,0,0,0,0,0,0,0.67,0,0.07,0.02,0,0,0,0,0,0,0,0,0,0.06,0,0.01,0
15,1119,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0.02,0.1,0,0,0,0,0,0,0,0,0
11,1120,0.01,0,0,0,0,0,0.01,0,0,0,0,0.87,0,0,0,0,0,0,0.02,0,0,0.06,0,0.02,0,0,0,0,0,0
19,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.04,0,0,0.78,0,0,0.03,0,0,0,0.03,0,0,0
1,1122,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1123,0,0,0,0.13,0,0,0,0,0.1,0,0,0,0,0,0,0.61,0,0,0,0.1,0.01,0,0,0,0,0,0.02,0,0,0
15,1124,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0.08,0.24,0,0,0,0,0,0.02,0,0,0
15,1125,0,0,0,0.03,0.14,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0.08,0,0,0,0,0,0,0.11,0,0,0
11,1126,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0
15,1127,0,0,0,0,0.09,0,0,0,0,0,0,0.01,0,0,0,0.74,0,0,0,0.1,0,0,0,0,0,0,0.05,0,0,0
7,1128,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0.14,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
24,1129,0,0.01,0,0.14,0,0.08,0.02,0,0,0,0.06,0,0,0,0,0,0.05,0,0,0.09,0,0,0,0,0.43,0.02,0.02,0,0.05,0
7,1130,0.03,0,0,0,0,0.06,0,0.73,0,0,0,0,0,0,0.02,0.01,0,0.02,0,0,0,0,0,0,0.04,0,0.09,0,0,0
8,1131,0,0,0,0.05,0,0,0,0,0.39,0.02,0,0,0,0.08,0.32,0.03,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0
6,1132,0,0.34,0,0,0,0,0.61,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0
15,1133,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.03,0,0.86,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1134,0,0,0.05,0,0.06,0.27,0,0,0,0,0,0,0,0,0,0.29,0.06,0,0,0,0.04,0,0.02,0,0.1,0,0.09,0,0,0
9,1135,0,0,0,0,0,0,0,0.31,0,0.64,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1136,0,0,0,0.6,0,0,0,0,0.1,0,0,0,0,0,0,0.21,0,0,0,0.04,0,0,0,0,0.01,0,0.02,0,0,0
19,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0
27,1138,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0.02,0,0,0,0,0,0,0,0,0.16,0,0.06,0,0,0.41,0,0
22,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
24,1140,0,0,0.05,0,0.06,0,0,0,0,0,0.07,0,0,0.02,0,0,0.06,0.01,0,0,0,0,0,0,0.68,0,0,0.01,0,0
28,1141,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0.64,0
15,1142,0,0,0.04,0.28,0.1,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0.11,0,0,0,0,0,0,0.02,0,0,0
15,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0
0,1144,0.52,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
27,1145,0,0,0.04,0.22,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0.53,0,0
19,1146,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.02,0.24,0,0,0,0.67,0,0,0,0,0,0,0,0.05,0,0
26,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0.08,0,0,0,0,0,0,0.71,0,0,0
20,1148,0,0,0,0.24,0.09,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.25,0.29,0,0,0,0,0,0.05,0,0,0
19,1149,0,0,0.02,0.15,0,0,0,0,0.09,0,0.18,0,0,0,0,0,0.01,0,0,0.44,0.03,0,0,0,0,0,0,0.05,0,0
15,1150,0,0,0,0.06,0.09,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0.28,0.02,0,0,0,0,0,0.01,0,0,0
15,1151,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1152,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0.49,0,0,0,0,0.04,0,0,0
27,1153,0,0,0.02,0,0,0,0,0,0.03,0,0.01,0,0,0,0,0.2,0,0,0,0.02,0.01,0,0.03,0,0,0,0,0.66,0,0
7,1154,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.11,0,0,0,0.29,0.05,0,0,0,0,0,0.01,0.02,0,0
19,1155,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.46,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0
15,1156,0,0.01,0.03,0.06,0,0,0,0.04,0,0,0.19,0,0,0,0,0.22,0.01,0,0,0.01,0,0.16,0.02,0,0.08,0,0.1,0.05,0,0
21,1157,0,0,0.09,0,0,0,0,0.02,0.05,0,0.03,0,0,0,0,0.37,0,0,0,0,0,0.4,0,0,0,0,0.02,0,0,0
27,1158,0,0,0.04,0,0.22,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0.22,0,0,0.34,0,0
18,1159,0,0,0,0.34,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0.48,0,0,0.01,0,0,0,0.08,0,0,0,0
3,1160,0,0,0,0.59,0.08,0,0,0,0,0,0,0,0,0.02,0,0.05,0,0,0,0.13,0,0,0,0,0.06,0,0.06,0,0,0
27,1161,0,0,0.32,0.01,0.12,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.46,0,0
20,1162,0,0,0.03,0,0.01,0.01,0,0,0,0,0.07,0,0,0,0,0,0.03,0,0,0.18,0.5,0,0.08,0,0.04,0,0,0,0,0
3,1163,0,0,0,0.52,0,0,0,0,0.01,0,0,0,0,0,0,0.18,0,0,0,0.09,0,0,0,0,0.04,0,0.13,0,0,0
15,1164,0,0,0.01,0.05,0.03,0,0,0,0.04,0,0,0,0,0,0,0.71,0,0,0,0.01,0.11,0,0,0,0.02,0,0,0,0,0
3,1165,0,0,0.04,0.4,0,0,0,0,0,0,0,0,0,0,0,0.02,0.26,0,0,0,0,0,0,0,0.22,0.04,0,0,0,0
8,1166,0,0,0.05,0,0.12,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.09,0,0.15,0,0.01,0,0,0
19,1167,0,0,0,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0.01,0,0,0,0.73,0.17,0,0,0,0,0,0.04,0,0,0
16,1168,0,0,0,0,0,0,0,0,0,0,0.15,0.03,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1169,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
20,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0.13,0,0,0.13,0,0
15,1171,0,0,0.05,0,0.06,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0
7,1172,0,0,0,0,0.14,0,0,0.52,0,0,0,0,0,0,0,0.2,0,0,0,0.02,0,0,0.02,0,0,0,0.09,0,0,0
8,1173,0,0,0,0.13,0,0,0,0,0.51,0,0.02,0,0,0,0,0,0,0,0,0.26,0.02,0,0,0,0.02,0.02,0,0,0,0
11,1174,0,0.02,0,0,0,0,0.05,0.02,0,0,0.18,0.69,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.01,0,0
19,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0
10,1176,0,0.03,0.07,0,0.06,0,0,0,0,0.02,0.41,0.02,0,0,0,0,0.01,0,0,0.02,0.06,0,0.06,0,0.06,0,0,0.16,0,0
21,1177,0,0,0,0,0,0,0,0.3,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0
15,1178,0,0,0.02,0.01,0.06,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0.07,0,0,0,0,0,0.05,0,0,0
19,1179,0,0,0.06,0,0.2,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0.35,0.03,0,0,0,0,0,0.03,0,0,0
15,1180,0,0,0.03,0.01,0,0.01,0,0,0.12,0,0,0,0,0,0,0.63,0,0,0,0.01,0.14,0,0,0,0,0,0.01,0,0,0
4,1181,0,0,0.03,0,0.52,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0
21,1182,0,0.07,0.07,0,0,0,0,0.12,0,0.02,0,0.05,0,0,0,0,0,0,0,0,0,0.6,0.03,0.03,0,0,0,0,0,0
11,1183,0,0,0,0.09,0,0,0,0,0.09,0,0,0.51,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.02,0,0,0.03,0
7,1184,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0.04,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
17,1185,0,0,0.07,0.24,0.01,0,0,0,0.09,0,0,0.07,0,0,0.01,0.01,0,0.27,0,0.06,0.03,0.11,0,0,0.02,0,0,0,0,0
7,1186,0,0,0,0,0,0,0,0.96,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1187,0,0,0,0,0,0,0,0,0,0.15,0.03,0.58,0,0,0.01,0,0,0,0,0,0,0.02,0,0,0.18,0,0,0,0.03,0
19,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.04,0,0,0,0,0,0,0,0,0
15,1189,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.62,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0
19,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0
19,1191,0,0.07,0,0.21,0.15,0,0,0,0,0,0,0,0,0,0,0.17,0,0.01,0,0.24,0.11,0,0,0,0,0.01,0.03,0,0,0
3,1192,0,0,0,0.56,0,0,0,0,0.01,0,0,0,0,0,0,0.11,0.01,0,0,0.28,0,0,0,0,0,0,0,0,0,0
0,1193,0.43,0,0.1,0,0.07,0,0,0,0.14,0.01,0,0,0,0,0,0.16,0,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0
3,1194,0,0,0.03,0.32,0.03,0,0,0.03,0.28,0,0,0,0,0,0,0.09,0,0,0,0.13,0.02,0,0.01,0,0,0,0.03,0,0,0
9,1195,0,0,0,0,0,0,0,0,0,0.53,0,0.07,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0
3,1196,0,0,0.02,0.25,0,0,0,0,0,0,0,0,0,0,0,0.13,0.08,0,0,0,0,0,0,0,0.25,0,0.24,0,0,0
24,1197,0,0,0.07,0.28,0.08,0,0,0,0,0,0,0,0,0.04,0,0,0.02,0,0,0,0,0,0,0,0.45,0,0.01,0.01,0,0
8,1198,0,0,0,0.02,0,0,0,0.14,0.56,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
0,1199,0.52,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
11,1200,0,0,0,0.15,0,0,0,0,0,0,0,0.6,0,0,0,0.2,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
15,1201,0,0,0.01,0.04,0.1,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0.12,0.14,0,0,0,0,0,0.03,0,0,0
11,1202,0,0,0.01,0,0.03,0,0,0.1,0,0,0,0.66,0,0,0.01,0,0.11,0,0,0.04,0,0,0,0,0,0,0,0.02,0,0
11,1203,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0
29,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
7,1205,0,0,0,0,0,0,0,0.39,0,0.03,0.09,0.15,0,0,0,0.09,0,0,0,0,0,0.23,0,0.03,0,0,0,0,0,0
3,1206,0,0,0.01,0.39,0.04,0,0,0,0.03,0,0,0,0,0,0,0.02,0.02,0,0.02,0.11,0.1,0,0,0,0.11,0.08,0.02,0,0,0
22,1207,0,0,0,0,0,0,0,0.11,0,0.05,0,0,0,0,0,0.16,0,0,0,0,0,0,0.67,0,0,0,0.01,0,0,0
27,1208,0,0,0.1,0.2,0.21,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.11,0,0,0,0,0,0,0,0.35,0,0
8,1209,0,0.01,0,0,0,0,0,0,0.9,0,0,0,0,0,0.03,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.02
15,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0
20,1211,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.02,0,0,0,0,0,0,0.68,0,0,0,0.07,0,0,0.04,0.15,0
15,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0.08,0.27,0,0,0,0,0,0,0,0,0
15,1213,0,0,0,0,0,0,0,0,0.01,0.03,0,0,0,0,0,0.68,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0
2,1214,0,0,0.47,0,0,0,0,0,0.46,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.36,0.02,0,0,0,0,0,0,0.01,0,0
7,1216,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1217,0,0,0,0.13,0.06,0,0,0,0.12,0,0.01,0,0,0,0,0.3,0.01,0,0,0.32,0.02,0,0,0,0,0,0,0,0,0
3,1218,0,0,0,0.31,0.05,0,0,0,0.04,0,0,0,0,0,0,0.28,0,0,0,0.22,0,0,0,0,0.01,0,0.06,0,0,0
15,1219,0,0,0.04,0.01,0.15,0,0,0,0.2,0,0,0,0,0,0,0.3,0,0,0,0.01,0.11,0,0,0,0.03,0,0.13,0,0,0
7,1220,0,0.23,0,0,0,0,0,0.64,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0
11,1221,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
15,1223,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.58,0,0,0,0.03,0.28,0,0,0,0,0,0,0,0,0
3,1224,0,0,0,0.62,0,0.11,0,0,0,0,0.03,0,0,0,0,0,0.02,0,0,0.18,0.02,0,0,0,0.01,0,0,0,0,0
10,1225,0,0,0.04,0,0,0.01,0,0,0.01,0,0.33,0,0,0.02,0,0.02,0,0,0.08,0,0.27,0,0,0,0.14,0,0.01,0,0.02,0
3,1226,0,0,0,0.3,0,0,0,0,0,0,0.01,0,0,0,0,0.21,0.04,0,0,0.25,0,0,0,0,0.07,0,0.1,0,0,0
7,1227,0,0,0,0,0,0,0,0.71,0,0.14,0,0,0,0,0,0.06,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0
20,1228,0,0,0,0.16,0.02,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0.47,0,0,0,0.1,0,0.13,0,0,0
16,1229,0,0,0.01,0,0,0.07,0,0,0.06,0.01,0.08,0.01,0,0,0,0.03,0.22,0,0,0.06,0.09,0,0.06,0,0.2,0,0.04,0,0,0
20,1230,0,0,0,0.03,0.03,0,0,0,0.05,0,0,0,0,0,0.01,0.02,0.05,0,0,0.06,0.43,0,0.02,0,0.08,0,0.07,0.11,0,0
8,1231,0,0,0.05,0,0,0,0,0,0.4,0.14,0,0,0,0.01,0,0.04,0,0.12,0,0.13,0,0,0.04,0,0,0.02,0.03,0,0,0
15,1232,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.9,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0
8,1233,0,0.12,0.39,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
8,1234,0,0,0,0.02,0.01,0,0,0.07,0.66,0,0,0,0,0,0.03,0.03,0.02,0,0,0.02,0,0,0,0,0,0,0.13,0,0,0
10,1235,0,0,0.01,0,0,0,0.04,0,0,0,0.34,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.24,0,0,0,0.09,0
11,1236,0,0,0,0.18,0,0,0,0,0,0,0,0.72,0,0,0,0.04,0,0,0.01,0,0,0,0,0,0.02,0.01,0,0,0,0
3,1237,0,0,0,0.49,0,0.01,0,0,0.01,0,0,0,0,0,0,0.11,0.02,0,0,0.02,0.04,0,0,0,0.21,0,0.05,0,0,0
26,1238,0,0.03,0.03,0.23,0.07,0,0,0,0.05,0,0,0,0,0,0,0.09,0,0,0,0.02,0.04,0,0,0,0.1,0.03,0.28,0,0,0
15,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0.26,0,0,0.02,0,0,0,0,0,0,0
20,1240,0,0,0,0,0.02,0,0,0,0,0.12,0.03,0,0,0,0,0,0,0,0,0.06,0.71,0,0,0,0,0,0,0.05,0,0
20,1241,0,0,0.01,0.12,0.02,0,0,0,0.02,0,0,0,0,0,0,0.32,0,0,0,0,0.38,0,0,0,0.09,0,0.01,0,0,0
21,1242,0,0,0,0.02,0,0,0,0.06,0.09,0,0.01,0,0,0,0,0.15,0.02,0,0,0.02,0,0.61,0,0,0,0,0,0,0,0
8,1243,0,0,0,0,0,0,0,0.02,0.59,0,0,0.28,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1244,0,0,0.66,0,0.07,0.15,0.02,0,0,0,0,0,0,0.05,0.02,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
11,1245,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.11,0.79,0,0,0,0,0,0,0,0,0
10,1247,0,0,0,0,0,0.04,0,0,0.15,0.03,0.61,0,0,0,0.03,0,0.01,0,0,0,0.03,0.01,0.03,0,0,0.01,0,0.03,0,0
8,1248,0,0,0.05,0,0,0,0,0.13,0.52,0.06,0,0,0,0,0,0.07,0,0,0,0,0.03,0,0.12,0,0,0,0,0,0,0
11,1249,0,0,0,0,0,0,0,0.03,0.08,0,0,0.45,0,0,0,0.2,0,0,0,0.06,0.04,0,0.01,0,0.12,0.02,0,0,0,0
15,1250,0,0.18,0,0,0,0,0,0.31,0,0.1,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1251,0,0,0.05,0,0.18,0,0,0,0.07,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.21,0,0,0.47,0,0
11,1252,0,0.01,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0
21,1253,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.31,0,0,0.01,0,0,0,0.63,0,0,0,0,0,0,0,0
15,1254,0,0,0.02,0.15,0.01,0,0,0,0.09,0,0,0,0,0,0,0.38,0,0,0,0.03,0.15,0,0,0,0.11,0,0.06,0,0,0
15,1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0.24,0.03,0,0,0,0,0,0,0,0,0
6,1256,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1257,0,0,0,0.1,0,0,0,0,0.03,0,0.03,0,0,0,0.01,0,0,0,0,0.52,0.28,0,0,0,0,0,0,0,0,0
13,1258,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0.64,0.01,0,0,0,0,0,0,0,0.02,0,0.2,0,0,0,0,0
19,1259,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.59,0.02,0,0,0,0,0,0,0,0,0
19,1260,0,0,0,0.07,0.18,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0.37,0.12,0,0,0,0,0,0,0,0,0
15,1261,0,0,0.02,0.13,0.02,0,0,0,0.01,0,0,0,0,0,0,0.61,0,0,0,0.01,0.01,0,0,0,0.02,0,0.15,0,0,0
19,1262,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.52,0.28,0,0,0,0,0,0,0,0,0
11,1263,0,0,0,0,0.01,0,0,0,0.14,0,0,0.37,0,0,0,0.35,0,0,0,0.02,0.05,0,0,0,0.01,0,0.02,0,0,0
19,1264,0,0,0,0.34,0,0,0,0,0,0,0.02,0,0,0,0,0.03,0,0,0,0.46,0.12,0,0,0,0.01,0,0,0,0,0
24,1265,0,0,0,0.24,0,0,0,0,0.07,0,0.15,0,0,0,0,0.11,0.02,0,0,0.01,0.02,0,0,0,0.35,0,0,0,0,0
15,1266,0,0,0,0.23,0.01,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0.05,0.02,0,0,0,0,0,0.05,0,0,0
15,1267,0,0,0,0.17,0.07,0,0,0,0.05,0,0,0,0,0,0,0.31,0,0,0,0.07,0.19,0,0,0,0.02,0,0.1,0,0,0
19,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0
